year,period,ff4_hf,sp500_hf,gs1,logsp500,us_rgdp,us_gdpdef,ebpnew
2001,5,-0.14831,0.37291,4.21,529.79,494.98,432.26,0.7302
2001,6,0.08604,-0.52379,3.97,528.17,494.35,432.44,0.9612
2001,7,0,0,3.77,523.7,494.32,432.4,0.7187
2001,8,-0.090106,-0.6934,3.65,527.78,495.4,432.39,0.7048
2001,9,-0.075296,NaN,3.07,518.04,493.95,432.05,1.1468
2001,10,-0.060314,-0.35196,2.49,523.55,494.83,432.4,0.9761
2001,11,-0.17758,0.6426,2.09,509.01,494.41,432.34,-0.1784
2001,12,-0.072448,0.26526,1.82,510.79,496.07,432.23,0.381
2002,1,0.026337,-0.03735,1.73,512.46,496.29,432.32,0.5339
2002,2,0,0,1.74,503.97,495.77,432.49,0.7205
2002,3,-0.070935,-0.33914,1.73,497.31,496.11,432.76,0.2365
2002,4,0,0,1.75,495.12,496.09,433.18,0.379
2002,5,-0.033138,-0.29932,1.75,477.76,496.13,433.24,0.4864
2002,6,0.0056677,-0.48238,1.75,481.33,496.59,433.37,0.8818
2002,7,0,0,1.73,467.91,496.99,433.59,1.4642
2002,8,-0.10232,-0.60374,1.74,453.98,496.35,433.79,1.3775
2002,9,-0.012672,-1.0117,1.75,452.2,496.58,433.97,1.5314
2002,10,0,0,1.75,436.94,496.41,434.15,1.3714
2002,11,-0.10318,-0.53662,1.34,464.61,496.8,434.25,1.0177
2002,12,0.018142,-0.2987,1.24,475.93,497.41,434.34,0.8631
2003,1,0.043422,0.15934,1.24,468.01,497.15,434.64,0.8301
2003,2,0,0,1.26,460.77,497.4,435.06,0.5942
2003,3,0.0070332,-0.43291,1.25,452.04,496.84,435.32,0.078
2003,4,0,0,1.26,451.67,497.73,435.15,0.0163
2003,5,-0.090199,0.12916,1.26,460.27,498,435.03,-0.5893
2003,6,0.14222,-0.20488,1.22,466.76,499.05,435.14,-0.4295
2003,7,0,0,1.01,470.28,499.3,435.43,-1.0964
2003,8,-0.034487,-0.07643,1.03,463.95,499.82,435.77,-0.1966
2003,9,-0.0033997,0.09982,1.01,463.95,500.34,436.08,-0.5814
2003,10,-0.081727,-0.0135,1.01,459.63,500.64,436.1,-0.5203
2003,11,0,0,1,464.03,501.24,436.22,-0.5418
2003,12,0.028459,-0.11632,0.98,462.76,501.4,436.44,-0.4955
2004,1,0.12625,-0.91791,1,471.24,500.81,436.83,-0.7088
2004,2,0,0,1.01,474.87,501.61,437.04,-0.3282
2004,3,-0.058865,-0.05315,1,476.83,502.39,437.2,-0.516
2004,4,0,0,1,475.32,502.19,437.38,-0.7367
2004,5,0.0061291,0.36501,1,474.74,503.01,437.71,-0.3466
2004,6,-0.027377,0.26758,1.03,470.55,502.32,437.99,-0.3597
2004,7,0,0,1.26,473.53,503.48,438.08,-0.3026
2004,8,0.049714,-0.30232,1.43,476.61,503.6,438.14,-0.4201
2004,9,-0.014194,0.0293,1.61,477.74,503.7,438.33,-0.5564
2004,10,0,0,1.76,478.9,504.36,438.76,-0.5319
2004,11,-0.028386,0.1175,1.93,479.79,504.32,439.15,-0.661
2004,12,-0.01455,0.06497,2.16,483.68,504.91,439.2,-0.7154
2005,1,0,0,2.28,486.06,505.98,439.33,-0.7061
2005,2,-0.01398,0.01929,2.5,478.16,505.73,439.61,-0.9478
2005,3,0.067656,-0.33953,2.63,478.8,505.84,439.91,-0.6569
2005,4,0,0,2.79,477.06,506,440.19,-0.4458
2005,5,0.005633,0.621,3,477.2,506.11,440.24,-0.352
2005,6,0.046973,-0.41325,3.04,478.38,507.17,440.31,-0.5136
2005,7,0,0,3.26,479.66,507.28,440.73,-0.6099
2005,8,-0.019865,0.21427,3.5,482.74,507.31,441.13,-0.6182
2005,9,0.024712,-0.15015,3.62,479.21,506.54,442.09,-0.5067
2005,10,0,0,3.78,477.68,506.81,442.25,-0.3978
2005,11,0.0064591,0.2192,4,475.57,507.51,442.04,-0.3721
2005,12,-0.027111,0.52662,4.16,480.37,508.54,442.04,-0.355
2006,1,0.029852,-0.22803,4.29,476.58,508.65,442.53,-0.4092
2006,2,0,0,4.49,479.78,508.97,442.59,-0.374
2006,3,0.046011,-0.62108,4.59,486.13,509.81,442.78,-0.4422
2006,4,0,0,4.79,489.14,509.24,443.24,-0.4755
2006,5,0.050771,-0.19309,4.94,486.18,509.61,443.51,-0.3692
2006,6,-0.042961,0.54151,4.99,483.13,509.36,443.76,-0.4107
2006,7,0,0,5.24,487.71,509.08,444.1,-0.3201
2006,8,-0.040547,-0.2469,5.25,491.84,509.45,444.41,-0.3459
2006,9,0.017825,-0.26777,5.25,492.99,510.06,444.15,-0.421
2006,10,-0.010461,-0.07474,5.25,496.9,510.53,443.91,-0.4405
2006,11,0,0,5.25,500.31,511.16,443.95,-0.4169
2006,12,-0.032266,0.26109,5.24,499.98,511.03,444.3,-0.5313
2007,1,-0.0080575,0.4816,5.25,504.44,511,444.64,-0.5828
2007,2,0,0,5.26,507.49,511.76,444.95,-0.6093
2007,3,-0.08335,0.81634,5.26,506.81,510.97,445.31,-0.3972
2007,4,0,0,5.25,510.61,511.69,445.55,-0.3989
2007,5,0.036575,-0.13457,5.25,510.67,511.67,445.84,-0.6204
2007,6,0.012063,-0.27362,5.25,519.88,511.75,446.05,-0.4189
2007,7,0,0,5.26,517.17,511.45,446.2,-0.0334
2007,8,-0.04408,-1.2539,5.02,514.24,512.62,446.27,0.0846
2007,9,-0.20509,1.3203,4.94,514.16,512.69,446.65,0.0125
2007,10,0.053452,-0.41526,4.76,518.52,512.36,446.96,-0.0804
2007,11,0,0,4.49,517.04,512.18,447.48,0.252
2007,12,0.037826,-1.7677,4.24,509.52,512.29,447.72,0.3937
2008,1,-0.27967,NaN,3.94,512.55,512.28,447.97,0.6267
2008,2,0,0,2.98,502.14,510.9,448.17,0.8296
2008,3,0.15426,0.47764,2.61,492.06,511.04,448.45,1.0456
2008,4,-0.079654,0.16293,2.28,496.84,511.31,448.64,0.5636
2008,5,0,0,1.98,500.62,511.19,449.07,0.5943
2008,6,-0.053391,0.03392,2,503.92,512.04,449.79,0.6924
2008,7,0,0,2.01,491.6,511.14,450.25,0.9545
2008,8,-0.036006,0.13432,2,484.55,510.85,450.17,1.0999
2008,9,0.10555,-0.62947,1.81,488.06,510.03,450.26,1.6214
2008,10,-0.11448,NaN,0.97,474.48,509.93,449.59,3.1241
2008,11,-0.092469,1.6406,0.39,464.48,511.16,448.41,2.6446
2008,12,-0.24761,1.5933,0.16,470.7,509.86,447.84,2.7451
2009,1,-0.010516,-0.1973,0.15,471.58,510.2,447.86,2.4233
2009,2,0,0,0.22,459.86,509.76,448.04,2.8929
2009,3,-0.060806,1.8082,0.18,456.99,509.36,447.93,2.4248
2009,4,0.016846,0.62292,0.15,462.73,509.15,448.07,2.034
2009,5,0,0,0.18,464.94,509.17,448.17,1.1943
2009,6,0.038443,-0.6802,0.21,463.61,508.77,448.76,0.776
2009,7,0,0,0.16,464.61,508.56,448.78,0.194
2009,8,-0.014147,-0.26438,0.16,468.15,508.99,449.07,-0.0655
2009,9,-0.087978,0.52867,0.15,465.7,508.89,449.23,-0.0424
2009,10,0,0,0.12,468.48,509.91,449.61,-0.2261
2009,11,-0.024894,0.08621,0.12,463.51,509.47,449.86,-0.0824
2009,12,0.0016226,-0.05211,0.12,469.7,508.93,449.91,-0.5243
2010,1,0.02768,0.09656,0.11,474.18,509.48,450.13,-0.2218
2010,2,0,0,0.13,464.39,509.67,450.13,-0.0159
2010,3,-0.035824,0.19305,0.16,463.09,510.31,450.27,-0.1447
2010,4,-0.0067218,0.16698,0.2,468.35,510.9,450.32,-0.2742
2010,5,0,0,0.2,466.95,510.93,450.36,-0.1867
2010,6,0.0037771,0.34692,0.18,462.93,511.52,450.31,-0.0383
2010,7,0,0,0.18,462.54,511.92,450.4,0.1234
2010,8,-0.017932,0.68052,0.19,470.17,511.77,450.54,-0.4067
2010,9,-0.0056589,0.59361,0.19,472.39,512.3,450.64,-0.075
2010,10,0,0,0.19,480.02,512.52,450.96,-0.0315
2010,11,-0.0018591,-0.30103,0.19,479.91,512.17,451.15,-0.1667
2010,12,-0.0046716,0.01285,0.18,478.47,512.68,451.38,-0.4198
2011,1,-0.0079443,-0.08019,0.17,485.78,511.6,451.68,0.0233
2011,2,0,0,0.16,481.86,511.49,451.96,-0.2425
2011,3,0.0067718,0.27359,0.14,484.17,512.59,452.36,-0.2838
2011,4,-0.010337,0.1752,0.1,489.22,512.62,452.78,-0.246
2011,5,0,0,0.09,489.89,512.21,453.09,-0.1287
2011,6,0.0033859,0.10646,0.09,491.52,511.93,453.07,-0.003
2011,7,0,0,0.07,490.04,512.37,453.24,-0.0705
2011,8,-0.02635,-0.87788,0.1,483.13,512.77,453.47,-0.2041
2011,9,0.054296,-0.609,0.08,481.77,511.96,453.61,0.2823
2011,10,0,0,0.07,480.41,513.53,453.61,-0.2341
2011,11,0.0095781,-0.13996,0.08,482.16,513.2,453.82,0.3807
2011,12,0.0094091,-0.81154,0.07,482.94,513.1,453.88,0.1445
2012,1,-0.018024,0.30319,0.08,486.61,513.43,454.22,0.0505
2012,2,0,0,0.1,482.6,514.91,454.44,-0.0586
2012,3,0.0080575,0.02241,0.13,486.25,513.76,454.63,-0.4602
2012,4,0,-0.0166,0.14,487.25,514.39,454.76,-0.285
2012,5,0,0,0.16,491.35,514.78,454.65,-0.2636
2012,6,0.016319,-0.02733,0.16,493.92,514.78,454.6,0.0195
2012,7,0,0,0.16,499.14,515.38,454.64,-0.1638
2012,8,0.012744,-0.1668,0.13,504.47,514.76,454.97,-0.3638
2012,9,0.015772,0.61107,0.14,501.93,515.01,455.27,-0.2808
2012,10,0,-0.00141,0.16,505.71,514.55,455.57,-0.2911
2012,11,0,0,0.16,500.36,515.04,455.5,-0.158
2012,12,-0.0035649,0.39349,0.16,499.48,515.74,455.49,-0.2511
2013,1,-0.0033859,-0.07702,0.14,498.39,516.51,455.68,-0.1535
2013,2,0,0,0.15,500.55,515.7,456.03,-0.1047
2013,3,0.0018391,0.10916,0.14,503.08,516.2,455.9,-0.1602
2013,4,0,0,0.15,506.27,516.41,455.8,-0.2026
2013,5,0.0011263,0.14053,0.11,512.09,516.25,455.87,-0.5716
2013,6,0.0047592,-0.06366,0.09,504.35,517.04,456.09,-0.4291
2013,7,-0.0041183,-0.03255,0.09,506.2,517.18,456.22,-0.0406
2013,8,0,0,0.08,505.45,517.65,456.37,-0.1514
2013,9,-0.015187,1.0078,0.08,501.22,517.66,456.41,-0.1651
2013,10,0.0022134,-0.29372,0.09,500.6,518.23,456.54,-0.0554
2013,11,0,0,0.08,507.69,518.7,456.69,-0.0017
2013,12,0.0013516,0.7595,0.09,505.02,518.62,456.87,-0.1414
2014,1,0.0032753,-0.40308,0.07,504.68,517.82,457.07,-0.3277
2014,2,0,0,0.07,500.43,518.24,457.12,-0.2269
2014,3,0.016115,-0.20472,0.08,499.38,518.23,457.28,-0.2963
2014,4,0.0011067,0.01755,0.09,503.95,518.98,457.46,-0.3904
2014,5,0,0,0.09,504.37,519.63,457.62,-0.4113
2014,6,0.0069508,0.31782,0.1,507.7,519.88,457.73,-0.3415
2014,7,-0.0058442,0.39686,0.09,506.42,520.53,457.87,-0.357
2014,8,0,0,0.09,508.95,521.18,457.86,-0.3613
2014,9,0.013723,0.24878,0.09,507.87,520.82,457.9,-0.2657
2014,10,0.021836,-0.29393,0.09,508.22,521.43,457.87,-0.2774
2014,11,0,0,0.09,508.03,521.63,457.77,-0.013
2014,12,-0.049689,0.74124,0.12,509.14,521.68,457.59,-0.0219
2015,1,-0.0058989,-0.25168,0.11,502.75,522.71,457.11,-0.2055
2015,2,0,0,0.11,500.48,523.2,457.29,-0.4364
2015,3,-0.063501,1.4247,0.11,506.86,522.7,457.48,-0.2551
2015,4,0,0.09256,0.12,503,523.58,457.57,-0.1055
2015,5,0,0,0.12,507.57,523.43,457.81,-0.0515
2015,6,-0.041855,0.33272,0.13,505.69,523.68,458,0.0847
2015,7,-0.0093543,0.12738,0.13,503.35,523.74,458.09,0.1126
2015,8,0,0,0.14,502.2,523.81,458.1,0.2967
2015,9,-0.070064,0.14133,0.14,498.78,524.35,457.96,0.4078
2015,10,0.03972,-0.6055,0.12,495.01,524.42,457.96,0.3119
2015,11,0,0,0.12,500.64,523.93,458.02,0.3851
2015,12,0.024482,0.13922,0.24,499.3,524.33,457.94,0.5552
2016,1,-0.027514,-0.36597,0.34,501,524.53,457.98,0.7418
2016,2,0,0,0.38,506.34,524.43,457.93,0.7695
2016,3,-0.085192,0.26709,0.36,508.99,525.04,458.16,0.4229
2016,4,0.010751,0.24476,0.37,515.07,525.15,458.49,0.0826
2016,5,0,0,0.37,511.88,524.92,458.65,0.0891
2016,6,-0.042854,-0.04467,0.38,511.84,525.03,458.83,-0.1449
2016,7,0.0051403,0.21188,0.39,520.75,525.19,458.85,-0.1889
2016,8,0,0,0.4,520.77,525.66,458.98,-0.184
2016,9,-0.035276,0.29354,0.4,514.87,526.1,459.17,-0.2368
2016,10,0,0,0.4,513.92,525.75,459.38,-0.2012
2016,11,0.0033165,0.06189,0.41,506.13,526.35,459.41,-0.9009
2016,12,0.037124,-0.24159,0.54,509.61,526.59,459.58,-0.3336
