year,month,ff4_hf,sp500_hf,gs1,logsp500,us_rgdp,us_gdpdef,ebpnew
1992,1,0,0,4.03,452.7208645,461.3425711519686,413.7372122692619,0.085900001
1992,2,0.00457179,0.03621,4.06,447.52892651335713,461.7326518034638,413.99073016324604,0.1338
1992,3,0,0,3.98,445.6206032848133,462.4393122314512,414.2324874740668,0.076800004
1992,4,-0.25893526,0.61127,3.73,442.30486091968027,462.57676030208586,414.50218335730824,0.073700003
1992,5,0.01238169,-0.04802,3.82,452.0047932571256,462.2970408,414.63517683806555,0.0232
1992,6,0,0,3.76,454.58447199032764,463.6839328504536,414.8122267902572,0.0142
1992,7,-0.07221606,0.22288,3.25,451.6994495084366,463.6917034606357,415.14177872484004,-0.0603
1992,8,0.00525726,0.02617,3.3,456.0068212075671,463.55176294573084,415.2754969768523,0.1166
1992,9,-0.00431514,-0.00719,3.22,457.95446383491185,463.8270931593621,415.43886233889464,0.22310001
1992,10,0.00268304,-0.19372,3.1,457.6976451617309,464.2537629590091,415.79138638181206,0.1418
1992,11,-0.00918557,0.19022,3.09,452.6884267589548,464.7025412773767,415.9882583692755,0.1046
1992,12,-0.00961387,-0.07718,2.92,449.55785093579965,465.1948527368723,416.16293090276963,0.1479
1993,1,0,0,3.02,450.34696311617523,464.8564359265895,416.40571746334007,0.114
1993,2,-0.00793754,-0.05131,3.03,452.6343405442121,465.0463356927967,416.5563842309941,0.083700001
1993,3,0.00885343,-0.0844,3.07,457.1613402459248,464.6487935917954,416.7610513308895,0.066399999
1993,4,0,0,2.96,460.76670661866797,464.96736781101527,417.0271118,0.079400003
1993,5,-0.02382891,0.16628,3,462.0846665373099,465.48895212390465,417.3355969056923,0.0528
1993,6,0,0,3.04,463.26880720248306,465.6061867910422,417.36947224476955,-0.038899999
1993,7,0.00218926,0.31433,3.06,462.2027303054515,465.41755162973504,417.5294550499781,-0.043299999
1993,8,0.00268304,-0.05693,3.03,463.09353938741174,465.8523747238137,417.6999240344289,-0.054200001
1993,9,0.00317284,0.0022,3.09,466.24952526073605,466.69401455990584,417.8042121243667,0.039799999
1993,10,0,0,2.99,466.99274332033696,466.4530907536873,418.11795347644915,-0.0253
1993,11,-0.00084095,0.04721,3.02,466.17395374759855,467.5714341905335,418.3072520598068,-0.111
1993,12,-0.0203899,0.01719,2.96,459.9453878991982,467.9003164662937,418.3301268,-0.1353
1994,1,0,0,3.05,460.9162207257629,468.0599547302298,418.3636669700862,-0.2128
1994,2,0.13344468,-0.64105,3.25,465.51025547362997,468.51198647729086,418.59509216472634,-0.40419999
1994,3,-0.03096104,0.29613,3.34,461.79876896987065,468.61209008736085,418.8699740703246,-0.29319999
1994,4,0.12949489,-0.68128,3.56,457.40922304172295,469.00728249559086,418.9881988931164,-0.2538
1994,5,-0.01423935,0.52219,4.01,461.93689053879046,470.29328680968945,419.1335147535729,-0.25569999
1994,6,0,0,4.25,461.7592705986649,469.6954227378945,419.3767485213173,-0.30399999
1994,7,-0.01588847,-0.22844,4.26,459.13754749659023,469.8620964555845,419.6916192551991,-0.27399999
1994,8,0.03673898,0.25704,4.47,463.81212861277777,470.34508164080364,419.92149577906963,-0.23370001
